Carimbo de data/hora,Pontuação,Qual curso você faz?,Qual nível você acredita que um chatbot pode ser útil como ferramenta de busca de conhecimento em sua área acadêmica?,Você atualmente usa mais o chatGPT ou outras ferramentas de pesquisa?,Você já referenciou o ChatGPT depois de utilizá-lo como fonte de pesquisa em um trabalho acadêmico.,Como você avalia a eficácia do ChatGPT em relação a outras ferramentas ou métodos utilizados em atividades acadêmicas?,"Eu concordo em participar voluntariamente do presente estudo como participante. Tenho ciência de que os dados por mim fornecidos serão utilizados para análises estatísticas sobre o tema desta pesquisa e os resultados serão divulgados apenas para fins acadêmicos, sem divulgação de nenhum tipo de informações pessoais e garantindo a privacidade dos respondentes.

Os Termos e Condições na íntegra encontram-se no link abaixo:
Termos & Consentimento"
24/05/2023 20:23:03,,Ciência da Computação,Muito útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:25:41,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:26:02,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:26:04,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:26:24,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:26:38,,Medicina,Útil,"Os dois, porém uso mais outras ferramentas",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:29:17,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:29:24,,Ciência da Computação,Útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:29:46,,Medicina,Útil,Praticamente não uso o ChatGPT,Discordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:29:55,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:29:58,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:30:45,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:30:49,,Medicina,Muito útil,"Os dois, igualmente.",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:32:39,,Letras,Útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:32:51,,Ciência da Computação,Útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:33:49,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:34:07,,Medicina,Muito útil,Praticamente só ChatGPT,Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:34:21,,Ciências Sociais,Pouco útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:34:43,,Medicina,Útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:35:17,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:36:26,,História,Útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:37:47,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Concordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:37:48,,Arquitetura e Urbanismo,Muito útil,"Os dois, igualmente.",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:37:55,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:38:15,,Outro,Útil,Praticamente não uso o ChatGPT,Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:38:36,,Letras,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Ruim,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:39:09,,Desenho Industrial,Pouco útil,Praticamente não uso o ChatGPT,Discordo totalmente,Ruim,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:40:49,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:41:26,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:44:53,,Ciência da Computação,Útil,Praticamente só ChatGPT,Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:50:21,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:57:21,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:58:03,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:58:04,,Outro,Pouco útil,Praticamente não uso o ChatGPT,Discordo totalmente,Muito ruim,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:01:25,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:06:13,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:11:22,,Pedagogia,Útil,Praticamente não uso o ChatGPT,Discordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:11:43,,Comunicação Social,Indiferente,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:27:14,,Ciência da Computação,Muito útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:36:03,,Medicina,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:37:21,,Outro,Muito útil,"Os dois, igualmente.",Indiferente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:38:53,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:45:22,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:51:41,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:56:35,,Ciência da Computação,Útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:56:37,,Ciência da Computação,Muito útil,Praticamente não uso o ChatGPT,Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:57:08,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Concordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:57:49,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 21:58:55,,Enfermagem,Útil,"Os dois, porém uso mais outras ferramentas",Concordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 22:04:37,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 22:43:18,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 22:52:20,,Direito,Útil,Praticamente não uso o ChatGPT,Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 23:38:50,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 00:06:54,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 00:42:04,,Psicologia,Indiferente,Praticamente não uso o ChatGPT,Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 01:11:30,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Concordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 01:25:29,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 06:27:09,,Ciência da Computação,Útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 07:11:43,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 07:27:23,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 07:53:14,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 08:02:40,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 08:03:20,,Ciência da Computação,Pouco útil,"Os dois, porém uso mais outras ferramentas",Discordo,Ruim,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 08:13:54,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 08:31:34,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 08:40:15,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 09:10:39,,Medicina,Útil,"Os dois, porém uso mais o ChatGPT",Concordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 09:14:28,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 09:14:37,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 09:45:11,,Outro,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 09:48:54,,Psicologia,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 10:11:13,,Ciência da Computação,Útil,Praticamente não uso o ChatGPT,Discordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 10:15:02,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 10:23:47,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 11:21:00,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Indiferente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 12:59:46,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 13:15:09,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 13:44:25,,Ciência da Computação,Útil,Praticamente não uso o ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 14:17:16,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 14:53:45,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 19:23:51,,Ciência da Computação,Útil,Praticamente não uso o ChatGPT,Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/05/2023 21:32:35,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
27/05/2023 11:30:56,,Ciência da Computação,Útil,"Os dois, porém uso mais o ChatGPT",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
27/05/2023 18:39:41,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
28/05/2023 09:56:48,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
28/05/2023 13:51:59,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
